date,ch_exports_to_china,ch_exports_to_hk,ch_exports_to_india,ch_exports_to_turkey,ch_exports_to_uk,ch_exports_to_us,ch_exports_total,ch_imports_from_us,comex_stock,efp_spread,gold_price,gold_price_avg_2025,gold_price_avg_q4_2025,lbma_london_change,lbma_london_stock,lease_rate_1m
2024-11-01,,,,,1.08,5.84,,,17.1,,,,,,,
2024-12-01,,,,,14.0,64.2,,,,,,,,-30.0,,
2024-12-15,,,,,,,,,,50.0,,,,,,
2025-01-01,,,,,,192.9,,,,,,,,-151.0,,
2025-01-02,,,,,,,,,,,,,,,,0.08
2025-01-20,,,,,,,,,,,,,,,,3.25
2025-01-29,,,,,,,,,29.8,,,,,,,
2025-01-31,,,,,,,,,,64.0,2798.0,,,,8500.0,5.0
2025-02-01,,,,,,152.8,,12.1,,,,,,,,
2025-02-07,,,,,,,,,,,2875.0,,,,8535.0,
2025-02-18,,,,,,,,,38.0,,,,,,,
2025-02-28,,,,,,,,,,,,,,,,1.0
2025-03-01,,,,,,103.3,,25.5,,,,,,,,
2025-03-31,,,,,,,,,43.3,,,,,,,
2025-04-01,,,,,,12.7,,63.0,,,,,,,,
2025-04-04,,,,,,,,,45.1,,,,,,,
2025-04-17,,,,,,,,,43.6,,,,,,,
2025-05-01,,,,,,14.0,,,,,,,,,,
2025-06-01,,,,,,0.3,,,,,,,,,,
2025-07-01,,,13.0,2.2,30.5,51.0,,,,,,,,,,
2025-08-01,,,,,,0.3,,,,,,,,,,
2025-08-08,,,,,,,,,,100.0,3534.0,,,,,
2025-10-20,,,,,,,,,,,4380.0,,,,,
2025-11-01,,,,,,0.2,,,,,,,,,,
2025-12-01,,,,,,5.8,,,,,,,,,,
2025-12-31,,,,,,,,,,,,3431.0,4135.0,,,
2026-01-15,,,,,,,,,,,5580.0,,,,,
2026-02-01,,,11.6,,19.8,,,,,,,,,,,
2026-03-01,,,3.1,,57.6,,,,,,,,,,,
2026-07-02,,,,,,,,,23.4,,,,,,,
