date,series,value,unit,quality,source,note
2020-03-01,ch_exports_total,96.2,tonnes,reported,Swiss customs via Reuters/GulfNews 2020-05-26,COVID episode baseline
2020-04-01,ch_exports_total,131.8,tonnes,reported,Swiss customs via Reuters/GulfNews 2020-05-26,
2020-04-01,ch_exports_to_us,111.7,tonnes,reported,Swiss customs via Reuters/GulfNews 2020-05-26,US took 85% of Swiss total; normally <1t/month
2020-04-01,ch_exports_to_india,0.5,tonnes,reported,Swiss customs via Reuters/GulfNews 2020-05-26,
2020-04-01,ch_exports_to_china,0.0,tonnes,reported,Swiss customs via Reuters/GulfNews 2020-05-26,
2020-04-01,ch_exports_to_hk,0.001,tonnes,reported,Swiss customs via Reuters/GulfNews 2020-05-26,1 kg
2021-08-01,ch_exports_total,116.455,tonnes,reported,Swiss customs via Reuters 2022-09-21,
2022-07-01,ch_exports_total,186.158,tonnes,reported,Swiss customs via Reuters 2022-09-21,
2022-08-01,ch_exports_total,121.025,tonnes,reported,Swiss customs via Reuters 2022-09-21,
2023-04-01,ch_exports_total,113.368,tonnes,reported,Swiss customs via Reuters 2024-06-04,
2024-03-01,ch_exports_total,146.816,tonnes,reported,Swiss customs via Reuters 2024-06-04,
2024-04-01,ch_exports_total,123.590,tonnes,reported,Swiss customs via Reuters 2024-06-04,
2024-04-01,ch_exports_to_china,36.541,tonnes,reported,Swiss customs via Reuters 2024-06-04,
2024-04-01,ch_exports_to_india,24.588,tonnes,reported,Swiss customs via Reuters 2024-06-04,
2024-04-01,ch_exports_to_hk,7.710,tonnes,reported,Swiss customs via Reuters 2024-06-04,
2024-04-01,ch_exports_to_turkey,9.952,tonnes,reported,Swiss customs via Reuters 2024-06-04,
2024-03-01,ch_exports_to_china,71.405,tonnes,reported,Swiss customs via Reuters 2024-06-04,
2024-03-01,ch_exports_to_india,6.595,tonnes,reported,Swiss customs via Reuters 2024-06-04,
2024-11-01,ch_exports_to_us,5.84,tonnes,derived,Bloomberg/SWI 2025-01-30,Dec stated as 11x Nov; 64.2/11
2024-11-01,ch_exports_to_uk,1.08,tonnes,derived,Bloomberg/SWI 2025-01-30,Dec stated as >13-fold rise; 14.0/13
2024-12-01,ch_exports_to_us,64.2,tonnes,reported,Swiss customs via Bloomberg/SWI 2025-01-30,Highest since March 2022
2024-12-01,ch_exports_to_uk,14.0,tonnes,reported,Swiss customs via Bloomberg/SWI 2025-01-30,
2025-01-01,ch_exports_to_us,192.9,tonnes,reported,Swiss customs via Reuters 2025-02-20,Record in data back to 2012
2025-02-01,ch_exports_to_us,152.8,tonnes,derived,Residual: Q1 449 less Jan 192.9 less Mar 103.3,Commerzbank cites Q1 total 449-450t
2025-03-01,ch_exports_to_us,103.3,tonnes,reported,Swiss customs via Reuters 2025-05-27,
2025-04-01,ch_exports_to_us,12.7,tonnes,reported,Swiss customs via Reuters/Kitco 2025-05-27,Total Swiss exports fell 31% m/m
2025-05-01,ch_exports_to_us,14.0,tonnes,derived,Residual: H1 476 less Q1 449 less Apr 12.7 less Jun 0.3,SBA cites H1 total >476t / CHF39bn
